sent_id,token_id,form,upos,head,deprel,sent_len,is_root
train-s11889,26,artenarme,ADJ,27,amod,29,False
train-s6271,10,in,ADP,11,case,17,False
train-s10717,20,Jahren,NOUN,21,nmod,28,False
train-s4457,21,in,ADP,23,case,28,False
train-s10576,2,wird,AUX,12,aux:pass,19,False
train-s3527,10,damit,ADV,9,advmod,16,False
train-s11566,21,Regionalliga,NOUN,22,obl,23,False
train-s238,2,der,DET,3,det,12,False
train-s11280,17,Konzer,PROPN,19,obj,20,False
train-s11117,6,Rajons,NOUN,3,nmod,7,False
train-s6090,17,1582,NUM,16,nmod,23,False
train-s10499,12,Ocala,PROPN,19,obl,20,False
train-s8982,1,Mit,ADP,4,case,18,False
train-s2848,8,bleiben,VERB,0,root,19,True
train-s7946,7,für,ADP,9,case,34,False
train-s6440,11,Algorithmus,NOUN,9,nmod,26,False
train-s12346,4,1964,NUM,3,obl,15,False
train-s577,6,eine,DET,8,det,9,False
train-s3430,4,von,ADP,6,case,36,False
train-s7168,6,aus,ADP,7,case,16,False
train-s5960,17,die,DET,18,det,20,False
train-s5912,21,Richtung,NOUN,15,nmod,24,False
train-s4748,14,nie,ADV,23,advmod,25,False
train-s4277,4,oder,CCONJ,5,cc,18,False
train-s11870,8,der,DET,9,det,29,False
train-s13517,16,ein,DET,18,det,56,False
train-s8736,9,weiß,ADJ,11,compound,28,False
train-s12618,5,ist,AUX,7,cop,25,False
train-s12934,11,und,CCONJ,23,cc,24,False
train-s13167,8,Region,NOUN,6,nmod,24,False
train-s8915,2,Deutschland,PROPN,3,obl,10,False
train-s5226,10,die,DET,11,det,21,False
train-s4377,5,Verstand,NOUN,6,nmod,15,False
train-s5234,9,1960,NUM,8,nmod,15,False
train-s7825,36,dient,VERB,28,acl,39,False
train-s8485,55,Katastrophe,NOUN,11,nmod,70,False
train-s11759,10,der,DET,11,det,23,False
train-s10013,10,religiöse,ADJ,11,amod,20,False
train-s4945,15,Raketenkörper,NOUN,6,obl,26,False
train-s8818,22,Kreuznach,PROPN,21,flat,23,False
train-s9428,6,reformierten,ADJ,10,amod,22,False
train-s10041,10,aber,ADV,24,advmod,26,False
train-s6578,5,zu,ADP,9,case,15,False
train-s7765,7,Projekt,NOUN,9,nsubj:pass,20,False
train-s5682,8,bescheidenen,ADJ,10,amod,14,False
train-s9846,1,Etwa,ADV,2,advmod,24,False
train-s13449,9,Wirtschaft,NOUN,10,nsubj,15,False
train-s5003,26,den,DET,31,det,34,False
train-s7573,42,Schweizer,PROPN,43,amod,48,False
train-s7854,1,Maternianus,PROPN,13,dep,39,False
train-s6510,3,waren,AUX,7,cop,21,False
train-s13902,20,Command,PROPN,17,flat,23,False
train-s6177,11,Kurden,NOUN,0,root,20,True
train-s5590,20,m,NOUN,16,appos,72,False
train-s550,13,den,DET,14,det,18,False
train-s1444,4,von,ADP,5,case,16,False
train-s13311,11,Paul,PROPN,14,nsubj,25,False
train-s5417,9,die,DET,10,det,11,False
train-s12640,26,Bahn,NOUN,27,compound,48,False
train-s7097,7,Jahr,NOUN,5,obl,29,False
train-s11125,29,Alter,NOUN,34,obl,35,False
train-s778,14,sind,AUX,12,cop,15,False
train-s2977,4,dieser,DET,5,det,13,False
train-s4855,3,wurde,VERB,0,root,14,True
train-s7310,5,und,CCONJ,6,cc,12,False
train-s6556,2,handelt,VERB,0,root,24,True
train-s9351,5,wurde,AUX,12,aux:pass,13,False
train-s3218,5,der,DET,6,det,28,False
train-s7942,20,Tauchtiefe,NOUN,10,obj,22,False
train-s10016,17,eine,DET,19,det,25,False
train-s6464,13,Wahl,NOUN,11,obj,47,False
train-s13,8,hätten,AUX,9,aux,11,False
train-s6347,7,Kernladung,NOUN,11,nsubj:pass,19,False
train-s11398,11,km,NOUN,12,obl,13,False
train-s6384,11,Filmmusik,NOUN,23,obl,30,False
train-s4107,2,er,PRON,10,nsubj,22,False
train-s3674,15,hätte,AUX,16,aux,18,False
train-s3669,17,von,ADP,18,case,30,False
train-s6204,4,einer,DET,5,det,21,False
train-s9283,7,durch,ADP,8,case,15,False
train-s7426,5,Wohnstift,NOUN,6,nmod,16,False
train-s10403,12,ein,DET,15,det,20,False
train-s7265,8,Stadtteil,NOUN,5,conj,10,False
train-s4884,28,zuständig,ADJ,8,conj,32,False
train-s6309,7,errichtet,VERB,0,root,15,True
train-s10129,9,bis,ADP,11,case,14,False
train-s7015,5,er,PRON,4,nsubj,20,False
train-s10132,22,in,ADP,25,case,26,False
train-s5907,25,Węgorzewo,PROPN,20,appos,35,False
train-s4483,15,wurden,AUX,20,aux,21,False
train-s11272,2,deutschen,ADJ,3,amod,32,False
train-s8528,10,die,DET,16,det,17,False
train-s2346,35,der,DET,36,det,38,False
train-s12306,7,der,DET,8,det,22,False
train-s5071,4,dem,DET,5,det,16,False
train-s4526,17,restaurierte,ADJ,18,amod,24,False
train-s2455,17,Boot,NOUN,20,nsubj:pass,32,False
train-s11998,11,Achilleus,PROPN,9,nmod,35,False
train-s3091,17,des,DET,18,det,35,False
train-s10054,8,in,ADP,9,case,24,False
train-s4461,27,mit,ADP,28,case,35,False
train-s7026,6,als,ADP,8,case,12,False
train-s2202,8,die,DET,9,det,32,False
train-s9914,6,zwischen,ADP,7,case,18,False
train-s265,1,Gekaufter,ADJ,2,amod,13,False
train-s4398,16,der,DET,18,det,24,False
train-s4274,8,erloschen,VERB,0,root,9,True
train-s13894,2,amtierenden,ADJ,3,amod,20,False
train-s4359,3,dem,DET,4,det,60,False
train-s13905,13,Frankreich,PROPN,14,nmod,47,False
train-s1650,6,werden,AUX,9,aux:pass,10,False
train-s4577,10,wurde,VERB,0,root,25,True
train-s13122,5,wurde,AUX,15,aux:pass,16,False
train-s12347,24,abweichendes,ADJ,25,amod,27,False
train-s5424,3,Alfanus,PROPN,2,nsubj,29,False
train-s11224,12,Grafiker,NOUN,15,obl,16,False
train-s2906,18,waren,AUX,20,cop,40,False
train-s12567,6,nach,ADP,9,case,25,False
train-s12039,5,von,ADP,6,case,11,False
train-s1849,6,der,DET,8,det,13,False
train-s9736,29,vertrat,VERB,15,acl,30,False
train-s11572,1,Seine,DET,2,det:poss,23,False
train-s13504,4,Hockey,NOUN,3,appos,21,False
train-s4565,40,der,PRON,51,nsubj,54,False
train-s1526,18,hieß,VERB,0,root,22,True
train-s2630,29,Frankiwsk,PROPN,27,flat,32,False
train-s760,7,sehr,ADV,8,advmod,9,False
train-s10177,2,unterscheidet,VERB,0,root,21,True
train-s9252,26,herausragen,VERB,18,acl,39,False
train-s10265,3,ein,DET,25,det,26,False
train-s7182,57,internationale,ADJ,58,amod,59,False
train-s12330,11,Kaplan,PROPN,8,appos,24,False
train-s7049,6,Pappteile,NOUN,10,nsubj,21,False
train-s5565,3,westlicher,ADJ,4,amod,13,False
train-s8201,5,den,DET,6,det,26,False
train-s6193,18,finanziellen,ADJ,19,amod,31,False
train-s9985,1,Auf,ADP,3,case,14,False
train-s11124,10,Bett,NOUN,11,obl,13,False
train-s13554,8,der,DET,9,det,30,False
train-s11503,15,Theryl,PROPN,14,appos,20,False
train-s9625,20,geprägt,VERB,10,acl,53,False
train-s3079,3,ab,ADP,4,case,27,False
train-s6440,17,augmentierender,ADJ,18,amod,26,False
train-s12052,5,und,CCONJ,6,cc,19,False
train-s6295,15,zahlreichen,ADJ,16,amod,19,False
train-s662,6,anderen,DET,7,det,21,False
train-s10005,20,durch,ADP,21,case,27,False
train-s11561,7,studierte,VERB,2,conj,10,False
train-s68,11,waren,AUX,13,cop,14,False
train-s7271,13,re,PROPN,9,appos,32,False
train-s8409,3,sind,AUX,7,cop,21,False
train-s4474,43,einem,DET,47,det,53,False
train-s10256,11,integriert,VERB,0,root,12,True
train-s3332,2,CFR,PROPN,5,nsubj,51,False
train-s3553,21,Chittagong,PROPN,20,appos,23,False
train-s1981,14,einen,DET,18,det,29,False
train-s222,7,und,CCONJ,14,cc,16,False
train-s10579,2,handelt,VERB,0,root,10,True
train-s608,1,Die,DET,2,det,12,False
train-s6091,1,Ihre,DET,2,det:poss,19,False
train-s2591,6,oder,CCONJ,7,cc,39,False
train-s2548,6,Stilelemente,NOUN,2,obj,15,False
train-s1667,10,interstellaren,ADJ,8,amod,16,False
train-s10185,6,an,ADP,8,case,33,False
train-s9060,5,um,ADP,6,case,21,False
train-s11704,13,TFH,PROPN,15,nmod,26,False
train-s11603,2,Handlung,NOUN,3,nsubj,10,False
train-s477,9,eingeladen,VERB,0,root,10,True
train-s3764,3,endet,VERB,0,root,12,True
train-s4581,6,wich,VERB,2,conj,18,False
train-s1636,20,Äußerungen,NOUN,18,nmod,25,False
train-s3867,6,noch,ADV,3,advmod,25,False
train-s7535,16,Frucht,NOUN,14,nsubj,27,False
train-s1354,7,kleine,ADJ,8,amod,13,False
train-s12016,2,entstand,VERB,0,root,20,True
train-s5527,17,dort,ADV,16,advmod,20,False
train-s10446,8,Frankfurt,PROPN,7,appos,16,False
train-s4427,6,Spielzeughersteller,NOUN,2,nmod,16,False
train-s10326,12,Regierungszeit,NOUN,24,nsubj:pass,26,False
train-s2001,7,und,CCONJ,8,cc,18,False
train-s13718,8,dunkel,ADJ,9,advmod,21,False
train-s3128,8,in,ADP,9,case,23,False
train-s2936,23,kommen,VERB,13,conj,31,False
train-s1624,15,vernommen,VERB,7,ccomp,17,False
train-s11389,1,Nxumalo,PROPN,6,nsubj:pass,19,False
train-s1251,10,Design,NOUN,8,nmod,14,False
train-s12584,2,Wendi,PROPN,1,flat,15,False
train-s9071,2,ist,AUX,8,cop,39,False
train-s7212,44,aus,ADP,39,compound:prt,45,False
train-s13001,22,Freiburg,PROPN,21,appos,39,False
train-s1220,14,Mit,ADP,15,case,33,False
train-s8450,7,beigesetzt,VERB,0,root,8,True
train-s13715,8,um,ADP,9,case,27,False
train-s6476,9,der,DET,11,det,22,False
train-s8850,9,preiswert,PROPN,3,conj,41,False
train-s11692,6,So,ADV,7,advmod,18,False
train-s2298,9,bereits,ADV,11,advmod,12,False
train-s13881,12,Holstein,PROPN,10,flat,28,False
train-s9154,7,für,ADP,8,case,30,False
train-s9037,6,begann,VERB,0,root,13,True
train-s3189,3,Oktober,PROPN,8,obl,13,False
train-s4472,19,errichtet,VERB,0,root,20,True
train-s8446,8,war,AUX,15,cop,16,False
train-s13148,5,Chirurg,NOUN,0,root,16,True
train-s8483,7,ihnen,PRON,18,obl:arg,20,False
train-s13749,5,die,DET,6,det,20,False
train-s1797,21,soziale,ADJ,22,amod,25,False
train-s14082,1,In,ADP,4,case,13,False
train-s5782,20,der,DET,23,det,27,False
train-s14037,12,Heidelberg,PROPN,8,appos,24,False
train-s13865,1,Das,DET,2,det,11,False
train-s7821,1,Für,ADP,4,case,27,False
train-s9668,41,Leipzig,PROPN,38,appos,49,False
train-s3903,46,Künste,PROPN,43,nmod,48,False
train-s7739,24,werden,AUX,23,aux:pass,33,False
train-s5817,12,klare,ADJ,13,amod,37,False
train-s5583,3,Gegensatz,NOUN,22,obl,23,False
train-s762,3,zwei,NUM,4,nummod,21,False
train-s4518,8,und,CCONJ,10,cc,28,False
train-s9556,13,in,ADP,15,case,20,False
train-s11364,13,der,DET,14,det,21,False
train-s13310,4,und,CCONJ,5,cc,19,False
train-s12230,21,einer,DET,22,det,30,False
train-s8850,32,Teures,NOUN,31,nmod,41,False
train-s7365,13,Gebäude,NOUN,10,nmod,22,False
train-s10953,12,Arbeitszeit,NOUN,8,nmod,13,False
train-s4373,14,Rückspiel,NOUN,11,nmod,29,False
train-s3359,14,Bundesverfassungsgericht,NOUN,11,nmod,15,False
train-s11033,2,Meter,NOUN,3,nmod,7,False
train-s687,15,regeneriert,VERB,12,advcl,16,False
train-s7716,18,Tal,PROPN,19,nsubj,26,False
train-s12898,38,of,PROPN,37,flat,50,False
train-s11268,6,Edwards,PROPN,5,flat,38,False
train-s8939,14,Deckel,NOUN,18,nsubj:pass,20,False
train-s1796,25,in,ADP,28,case,33,False
train-s3108,16,läuft,VERB,6,acl,17,False
train-s6923,3,und,CCONJ,4,cc,14,False
train-s6744,1,Besonders,ADV,2,advmod,20,False
train-s13512,12,States,PROPN,11,flat,25,False
train-s13307,3,Programm,NOUN,18,nsubj:pass,33,False
train-s9746,23,Rhys,PROPN,22,flat,32,False
train-s10336,46,die,DET,47,det,57,False
train-s12465,41,Aktion,NOUN,30,obl,47,False
train-s5426,17,Walknochen,NOUN,15,conj,18,False
train-s7109,7,bei,ADP,9,case,21,False
train-s11714,19,Rhodes,PROPN,18,flat,20,False
train-s6715,10,Nationalbank,PROPN,2,obl,21,False
train-s9116,7,Nachweis,NOUN,5,nsubj,20,False
train-s5358,1,Es,PRON,7,expl,8,False
train-s3777,14,und,CCONJ,15,cc,20,False
train-s6186,17,S.,PROPN,16,flat,38,False
train-s4474,33,Ton,NOUN,28,nmod,53,False
train-s8461,11,unterschiedlicher,ADJ,12,amod,36,False
train-s6644,22,Dr.,PROPN,2,obl,24,False
train-s9272,43,Benimm,NOUN,47,obj,66,False
train-s1021,4,hier,ADV,11,advmod,12,False
train-s8663,7,Populationen,NOUN,25,nmod,26,False
train-s6935,8,Balis,PROPN,7,nmod,9,False
train-s13820,3,Spielzeiten,NOUN,10,obl,21,False
train-s13342,9,Zusammentreffen,NOUN,5,obl,18,False
train-s262,12,zu,ADP,14,case,15,False
train-s13189,7,Wandsteinpaare,NOUN,4,obl,12,False
train-s3249,15,die,DET,16,det,18,False
train-s11944,14,Nachkriegs,NOUN,16,compound,30,False
train-s3131,12,Großneffen,NOUN,2,obl:arg,34,False
train-s3327,22,brachte,VERB,8,acl,23,False
train-s6926,14,war,AUX,18,cop,19,False
train-s13302,5,eine,DET,6,det,24,False
train-s3793,3,Missionierung,NOUN,0,root,24,True
train-s7327,2,ist,AUX,6,aux:pass,12,False
train-s12863,13,Afrikas,PROPN,12,nmod,15,False
train-s10968,13,auf,ADP,15,case,16,False
train-s3045,7,statt,ADP,3,compound:prt,8,False
train-s13487,11,seine,DET,13,det:poss,16,False
train-s8982,2,zwei,NUM,4,nummod,18,False
train-s13876,15,Pernegg,PROPN,14,appos,31,False
train-s12969,4,und,CCONJ,5,cc,12,False
train-s9559,1,Weltkriegs,PROPN,2,dep,16,False
train-s36,1,Terminfestlegung,NOUN,7,nsubj,11,False
train-s10782,6,Sekretärin,NOUN,0,root,14,True
train-s13917,3,neben,ADP,5,case,27,False
train-s10291,18,dem,DET,20,det,27,False
train-s5957,12,eine,DET,15,det,17,False
train-s9491,11,Stiftung,NOUN,26,nmod,27,False
train-s9348,9,Brauerei,PROPN,8,flat,16,False
train-s13233,14,Straße,PROPN,12,appos,37,False
train-s4432,14,urkundlich,ADJ,15,advmod,16,False
train-s14034,7,Knauserei,NOUN,4,nmod,20,False
train-s10632,4,mit,ADP,6,case,20,False
train-s5448,23,Grabbeigaben,NOUN,24,nsubj,38,False
train-s4714,5,als,ADP,6,case,17,False
train-s5908,12,der,DET,13,det,28,False
train-s13845,1,Schon,ADV,2,advmod,30,False
train-s11068,15,International,PROPN,12,amod,19,False
train-s1367,7,monaten,NOUN,2,obl,14,False
train-s5501,12,At,PROPN,10,flat,40,False
train-s8930,10,in,ADP,12,case,13,False
train-s13658,8,Prozessrechentechnik,NOUN,7,appos,66,False
train-s3954,20,sich,PRON,29,obj,31,False
train-s11866,3,kein,DET,5,det,14,False
train-s8881,4,arbeitete,VERB,0,root,8,True
train-s7344,3,war,AUX,6,cop,16,False
train-s11095,15,Hinblick,NOUN,21,obl,33,False
train-s5705,3,befördert,VERB,0,root,11,True
train-s7903,17,in,ADP,19,case,20,False
train-s6868,9,Heiligen,PROPN,10,amod,22,False
train-s10914,3,ist,AUX,18,aux:pass,19,False
train-s12366,19,Guadalupe,PROPN,16,flat,25,False
train-s14015,2,wurde,AUX,13,aux:pass,14,False
train-s9537,36,noch,ADV,47,advmod,49,False
train-s13946,17,AG,PROPN,15,flat,40,False
train-s4771,11,"2,5",NUM,12,nummod,15,False
train-s3744,12,ostpreußischen,ADJ,13,amod,15,False
train-s5516,27,Preussen,PROPN,25,nmod,38,False
train-s5203,8,zwar,ADV,7,advmod,32,False
train-s5152,35,Differentialgleichungssystemen,PROPN,28,nmod,40,False
train-s3508,7,nährstoffreicher,ADJ,10,amod,11,False
train-s10673,6,Musikschulverwaltung,NOUN,17,nsubj:pass,18,False
train-s6068,18,Leben,NOUN,13,obj,28,False
train-s2182,8,vor,ADP,10,case,18,False
train-s10042,25,als,ADP,26,case,27,False
train-s12560,3,Media,PROPN,2,appos,25,False
train-s6618,19,war,AUX,18,cop,30,False
train-s7124,12,als,SCONJ,25,mark,26,False
train-s3526,31,ist,AUX,30,aux:pass,32,False
train-s2297,1,Er,PRON,5,nsubj,17,False
train-s4792,17,GmbH,PROPN,13,flat,26,False
train-s6387,1,Sie,PRON,2,nsubj,15,False
train-s6339,2,wurden,AUX,16,aux:pass,17,False
train-s6196,4,wurde,AUX,9,aux:pass,10,False
train-s3189,12,reisen,VERB,8,csubj:pass,13,False
train-s2621,12,er,PRON,13,nsubj:pass,14,False
train-s3325,16,Heimat,NOUN,8,obl,30,False
train-s2795,6,der,DET,10,det,17,False
train-s10626,13,auf,ADP,15,case,22,False
train-s9180,15,Schwiegersohn,NOUN,13,conj,28,False
train-s10733,2,wurden,VERB,0,root,19,True
train-s9625,30,dem,DET,32,det,53,False
train-s13191,13,die,DET,14,det,25,False
train-s1214,10,ich,PRON,11,nsubj,19,False
train-s12554,8,Briska,PROPN,5,nsubj,21,False
train-s6727,14,starb,VERB,4,acl,20,False
train-s8090,3,ist,AUX,5,cop,13,False
train-s7502,17,überzogen,VERB,4,conj,20,False
train-s9141,6,Wenzel,PROPN,5,nsubj,13,False
train-s901,12,wir,PRON,23,nsubj,24,False
train-s13656,2,Gutschers,PROPN,1,flat,22,False
train-s12252,6,trifft,VERB,0,root,19,True
train-s6623,32,kämpfen,VERB,20,xcomp,33,False
train-s12977,23,Produkten,NOUN,21,nmod,30,False
train-s3973,19,Hafen,NOUN,5,obl,28,False
train-s8374,7,es,PRON,8,nsubj,48,False
train-s12221,24,besitzen,VERB,22,conj,43,False
train-s13696,30,2001,NUM,29,nmod,43,False
train-s10543,13,dem,DET,14,det,20,False
train-s8235,7,Britannia,PROPN,2,obl,39,False
train-s7037,10,I.,PROPN,9,appos,21,False
train-s1968,2,schreiben,VERB,0,root,10,True
train-s11413,14,Pubertät,NOUN,12,nmod,16,False
train-s1868,15,Flughafen,NOUN,24,obj,48,False
train-s10907,16,oder,CCONJ,17,cc,19,False
train-s13248,32,der,DET,33,det,39,False
train-s2645,4,etwa,ADV,5,advmod,7,False
train-s1040,13,eine,DET,15,det,16,False
train-s5016,4,gelang,VERB,0,root,30,True
train-s3885,13,der,DET,14,det,25,False
train-s2773,1,Jahrhundert,NOUN,4,dep,5,False
train-s13928,34,ein,DET,36,det,49,False
train-s1145,20,den,DET,21,det,28,False
train-s4472,13,Unterkunft,NOUN,11,nmod,20,False
train-s4956,1,Die,DET,2,det,11,False
train-s9788,7,einem,DET,8,det,12,False
train-s9404,5,die,DET,6,det,22,False
train-s3344,2,veröffentlichte,VERB,0,root,14,True
train-s139,2,hat,AUX,4,aux,14,False
train-s13156,13,an,ADP,15,case,30,False
train-s7899,30,und,CCONJ,31,cc,40,False
train-s1655,7,hat,AUX,13,aux,14,False
train-s1121,7,ausgefallenen,ADJ,9,amod,22,False
train-s1725,21,jetzt,ADV,20,advmod,31,False
train-s12992,13,an,ADP,5,compound:prt,20,False
train-s698,2,Essen,NOUN,4,nsubj,12,False
train-s11828,29,Widerstand,NOUN,30,obj,32,False
train-s14018,13,in,ADP,14,case,15,False
train-s12586,30,Tapa,PROPN,24,conj,35,False
train-s12893,12,Scorer,PROPN,8,nsubj,24,False
train-s11725,13,der,DET,14,det,25,False
train-s8529,6,2004,NUM,4,obl,22,False
train-s8344,17,und,CCONJ,18,cc,19,False
train-s6795,14,der,DET,15,det,18,False
train-s11660,8,in,ADP,14,case,22,False
train-s12358,20,afrikanischen,ADJ,22,amod,27,False
train-s3269,4,acht,NUM,7,nummod,8,False
train-s808,13,es,PRON,18,nsubj,30,False
train-s9422,16,rein,ADJ,17,advmod,19,False
train-s4131,14,Jugend,NOUN,17,obl,33,False
train-s10109,4,außergerichtlich,ADJ,5,advmod,6,False
train-s13566,3,ist,AUX,6,cop,12,False
train-s3673,4,Davies,PROPN,3,flat,15,False
train-s12416,6,eines,DET,7,det,13,False
train-s4700,13,Schlosses,NOUN,11,nmod,31,False
train-s11591,4,Verschluss,NOUN,7,nsubj,12,False
train-s9838,15,die,DET,17,det,23,False
train-s10183,14,und,CCONJ,15,cc,20,False
train-s11506,2,wurde,VERB,0,root,29,True
train-s7099,18,sich,PRON,25,obj,27,False
train-s7652,9,Russland,PROPN,7,nmod,16,False
train-s204,11,und,CCONJ,13,cc,15,False
train-s2664,4,in,ADP,7,case,22,False
train-s12229,9,in,ADP,12,case,24,False
train-s6065,13,Stadt,NOUN,2,obl:arg,21,False
train-s2362,7,Pazifik,PROPN,15,obl,16,False
train-s8401,21,eingesetzt,VERB,10,advcl,23,False
train-s2494,16,und,CCONJ,17,cc,20,False
train-s5171,30,dem,DET,31,det,39,False
train-s10446,10,dem,DET,11,det,16,False
train-s6058,13,wo,ADV,18,advmod,19,False
train-s12839,12,Art,NOUN,9,nmod,22,False
train-s13426,7,zwischen,ADP,8,case,14,False
train-s8707,6,13,NUM,7,nummod,22,False
train-s9625,4,Gottes,PROPN,3,nmod,53,False
train-s12405,11,Janda,PROPN,10,flat,24,False
train-s6424,12,rund,ADV,13,advmod,21,False
train-s3227,12,Herz,NOUN,15,obj,24,False
train-s9750,1,Bundesliga,PROPN,3,dep,14,False
train-s9959,10,und,CCONJ,11,cc,28,False
train-s3238,1,Vörden,PROPN,2,nsubj,19,False
